Borough Name,Offence Group,Count,Population,TotalBoroughCrime,Percentage,Rate,Type
Lambeth,Miscellaneous Crimes Against Society,410,317654,31224,1.313092493,1.290712536,Peer
Wandsworth,Theft,5712,327506,24976,22.86995516,17.44090185,Peer
Richmond upon Thames,Vehicle Offences,1717,195278,10980,15.63752277,8.792593124,Peer
Newham,Burglary,1588,351036,32193,4.932749355,4.52375255,Peer
Southwark,Burglary,2361,307637,31071,7.5987255,7.674629515,Peer
Southwark,Miscellaneous Crimes Against Society,360,307637,31071,1.158636671,1.170210345,Peer
Newham,Vehicle Offences,3750,351036,32193,11.64849501,10.68266503,Peer
Southwark,Robbery,1074,307637,31071,3.456599401,3.49112753,Peer
Lambeth,Violence Against The Person,9294,317654,31224,29.76556495,29.25824954,Peer
Wandsworth,Violence Against The Person,7420,327506,24976,29.70852018,22.65607348,Peer
Westminster,Sexual Offences,1218,204236,48772,2.497334536,5.963689066,Outlier
Sutton,Burglary,899,209639,12785,7.031677747,4.288324214,Peer
Sutton,Sexual Offences,386,209639,12785,3.019163082,1.841260452,Peer
Westminster,Theft,20982,204236,48772,43.02058558,102.7340919,Outlier
Newham,Violence Against The Person,9508,351036,32193,29.53437083,27.08554108,Peer
Westminster,Violence Against The Person,9833,204236,48772,20.16115804,48.14528291,Outlier
Redbridge,Miscellaneous Crimes Against Society,336,310260,23891,1.406387343,1.082962676,Peer
Tower Hamlets,Arson and Criminal Damage,2100,310306,31557,6.654624964,6.767513358,Peer
Newham,Drug Offences,2153,351036,32193,6.687789271,6.13327408,Peer
Redbridge,Possession Of Weapons,162,310260,23891,0.678079612,0.522142719,Peer
Tower Hamlets,Miscellaneous Crimes Against Society,434,310306,31557,1.375289159,1.398619427,Peer
Redbridge,Public Order Offences,1527,310260,23891,6.391528191,4.921678592,Peer
Newham,Miscellaneous Crimes Against Society,512,351036,32193,1.590407853,1.458539865,Peer
Redbridge,Sexual Offences,733,310260,23891,3.068100959,2.362534648,Peer
Redbridge,Theft,4801,310260,23891,20.09543343,15.47411848,Peer
Lewisham,Miscellaneous Crimes Against Society,383,300553,26459,1.447522582,1.274317674,Peer
Tower Hamlets,Public Order Offences,2355,310306,31557,7.462686567,7.589282837,Peer
Redbridge,Drug Offences,1338,310260,23891,5.60043531,4.312512087,Peer
Southwark,Arson and Criminal Damage,1864,307637,31071,5.999163207,6.059089121,Peer
Merton,Public Order Offences,1036,215186,12864,8.053482587,4.814439601,Peer
Waltham Forest,Arson and Criminal Damage,1518,278426,22101,6.86846749,5.452077033,Peer
Richmond upon Thames,Sexual Offences,327,195278,10980,2.978142077,1.67453579,Peer
Sutton,Arson and Criminal Damage,1051,209639,12785,8.220570982,5.013380144,Peer
Waltham Forest,Miscellaneous Crimes Against Society,300,278426,22101,1.357404642,1.07748558,Peer
Waltham Forest,Public Order Offences,1541,278426,22101,6.972535179,5.534684261,Peer
Southwark,Possession Of Weapons,299,307637,31071,0.962312124,0.971924703,Peer
Sutton,Possession Of Weapons,85,209639,12785,0.664841611,0.405458908,Peer
Wandsworth,Possession Of Weapons,157,327506,24976,0.628603459,0.47938053,Peer
Wandsworth,Robbery,587,327506,24976,2.350256246,1.792333576,Peer
Richmond upon Thames,Arson and Criminal Damage,917,195278,10980,8.35154827,4.695869478,Peer
Westminster,Arson and Criminal Damage,2197,204236,48772,4.504633806,10.75716328,Outlier
Sutton,Violence Against The Person,4394,209639,12785,34.36840047,20.95984049,Peer
Tower Hamlets,Possession Of Weapons,241,310306,31557,0.763697436,0.776652723,Peer
Tower Hamlets,Sexual Offences,878,310306,31557,2.782267009,2.829465109,Peer
Tower Hamlets,Robbery,966,310306,31557,3.061127484,3.113056145,Peer
Richmond upon Thames,Violence Against The Person,3007,195278,10980,27.38615665,15.39856,Peer
Waltham Forest,Burglary,1284,278426,22101,5.809691869,4.611638281,Peer
Waltham Forest,Possession Of Weapons,190,278426,22101,0.859689607,0.682407534,Peer
Tower Hamlets,Violence Against The Person,9151,310306,31557,28.9983205,29.49024511,Peer
Southwark,Sexual Offences,867,307637,31071,2.790383316,2.818256582,Peer
